flow_id,run_id,scenario,flow_key,src_ip,src_port,dst_ip,dst_port,protocol,start_ts,end_ts,duration,packet_count,byte_count,packets_per_second,bytes_per_second,min_packet_size,max_packet_size,mean_packet_size,std_packet_size,iat_mean,iat_std,iat_min,iat_max,iat_count,tcp_flags,tcp_syn_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,tcp_ack_count,tcp_urg_count,dns_packet_count,dns_qname_len_mean,dns_qname_len_max,dns_qname_entropy_mean,dns_qname_entropy_max,dns_qtype_mode,tls_record_count,tls_version_mode,tls_content_type_mode,tls_record_len_mean,tls_record_len_max,tls_payload_entropy_mean,iat_cv,tcp_syn_ratio,tcp_flag_diversity,payload_bytes_total,payload_ratio,payload_entropy_mean,payload_entropy_max,direction
benign__run_001__0000,run_001,benign,10.0.0.122:0->10.0.1.227:0/icmp,10.0.0.122,0,10.0.1.227,0,icmp,1726135200.339655,1726135202.173480,1.833825,7,196,3.817158,106.880421,28,28,28.000000,0.000000,0.305638,0.111037,0.088850,0.433859,6,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.363297,0.000000,0,0,0.000000,0.000000,0.000000,outbound
benign__run_001__0001,run_001,benign,10.0.0.206:57607->10.0.1.112:53/udp,10.0.0.206,57607,10.0.1.112,53,udp,1726135203.239240,1726135203.352575,0.113335,3,144,26.470168,1270.568064,44,54,48.000000,4.320494,0.056668,0.031071,0.025596,0.087739,2,,0,0,0,0,0,0,3,16.000000,22,2.907991,3.350209,28,0,0,0,0.000000,0,0.000000,0.548311,0.000000,0,60,0.416667,3.568637,3.950064,outbound
benign__run_001__0002,run_001,benign,10.0.0.67:57059->10.0.1.10:53/udp,10.0.0.67,57059,10.0.1.10,53,udp,1726135203.558208,1726135203.717244,0.159036,4,195,25.151550,1226.138087,40,56,48.750000,6.219928,0.053012,0.032944,0.006745,0.080890,3,,0,0,0,0,0,0,4,16.750000,24,2.973802,3.454822,1,0,0,0,0.000000,0,0.000000,0.621448,0.000000,0,83,0.425641,3.521723,4.023465,outbound
benign__run_001__0003,run_001,benign,10.0.0.180:48386->10.0.1.160:80/tcp,10.0.0.180,48386,10.0.1.160,80,tcp,1726135204.419085,1726135205.902885,1.483800,7,3311,4.717617,2231.432906,40,1004,473.000000,362.226843,0.247300,0.110362,0.115715,0.405458,6,"A,F,P,S",1,1,0,5,6,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.446267,0.142857,4,3031,0.915433,5.859006,5.930633,outbound
benign__run_001__0004,run_001,benign,10.0.0.142:19847->10.0.1.17:80/tcp,10.0.0.142,19847,10.0.1.17,80,tcp,1726135205.875777,1726135206.180604,0.304827,5,1244,16.402748,4081.003660,40,1008,248.800000,380.132293,0.076207,0.014765,0.057302,0.092928,4,"A,F,P,S",1,1,0,3,4,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.193745,0.200000,4,1044,0.839228,5.071368,5.926496,outbound
benign__run_001__0005,run_001,benign,10.0.0.37:57517->10.0.1.247:53/udp,10.0.0.37,57517,10.0.1.247,53,udp,1726135207.696193,1726135207.806320,0.110127,4,199,36.321710,1807.005096,40,57,49.750000,6.759253,0.036709,0.032380,0.008801,0.082105,3,,0,0,0,0,0,0,4,17.750000,25,2.887135,3.368042,1,0,0,0,0.000000,0,0.000000,0.882084,0.000000,0,87,0.437186,3.478255,3.952303,outbound
benign__run_001__0006,run_001,benign,10.0.0.239:28527->10.0.1.205:53/udp,10.0.0.239,28527,10.0.1.205,53,udp,1726135209.784725,1726135209.924294,0.139569,4,195,28.659650,1397.157953,46,53,48.750000,2.680951,0.046523,0.032559,0.006490,0.086240,3,,0,0,0,0,0,0,4,16.750000,21,2.727105,3.292770,28,0,0,0,0.000000,0,0.000000,0.699838,0.000000,0,83,0.425641,3.447738,3.913270,outbound
benign__run_001__0007,run_001,benign,10.0.0.47:0->10.0.1.236:0/icmp,10.0.0.47,0,10.0.1.236,0,icmp,1726135211.340250,1726135212.943716,1.603466,8,224,4.989192,139.697378,28,28,28.000000,0.000000,0.229067,0.130632,0.077166,0.445088,7,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.570281,0.000000,0,0,0.000000,0.000000,0.000000,outbound
benign__run_001__0008,run_001,benign,10.0.0.88:0->10.0.1.32:0/icmp,10.0.0.88,0,10.0.1.32,0,icmp,1726135211.817153,1726135213.018441,1.201288,8,224,6.659519,186.466528,28,28,28.000000,0.000000,0.171613,0.071944,0.106588,0.333653,7,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.419221,0.000000,0,0,0.000000,0.000000,0.000000,outbound
benign__run_001__0009,run_001,benign,10.0.0.95:27099->10.0.1.41:53/udp,10.0.0.95,27099,10.0.1.41,53,udp,1726135212.469167,1726135212.578241,0.109074,3,139,27.504234,1274.362841,39,52,46.333333,5.436502,0.054537,0.001602,0.052935,0.056139,2,,0,0,0,0,0,0,3,14.333333,20,2.703550,3.500000,1,0,0,0,0.000000,0,0.000000,0.029373,0.000000,0,55,0.395683,3.359544,3.886842,outbound
